"filename", "language", "XML", "C#", "JSON", "HLSL", "Batch", "Shell Script", "Markdown", "aspnetcorerazor", "JavaScript", "CSS", "Diff", "C++", "YAML", "XSL", "Python", "HTML", "Makefile", "GLSL", "comment", "blank", "total"
"c:\Users\sam\Projects\voxelspace\.config\dotnet-tools.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\sam\Projects\voxelspace\MonoGame\.config\dotnet-tools.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\sam\Projects\voxelspace\MonoGame\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 11, 2, 14
"c:\Users\sam\Projects\voxelspace\MonoGame\.teamcity\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\Users\sam\Projects\voxelspace\MonoGame\.teamcity\pom.xml", "XML", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 104
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Content.Builder\Debug\MonoGame.Framework.xml", "XML", 22966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 23378
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Effect.Compiler\Debug\SharpDX.D3DCompiler.xml", "XML", 6789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6790
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Effect.Compiler\Debug\SharpDX.xml", "XML", 38927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38947
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Effect.Compiler\Release\SharpDX.D3DCompiler.xml", "XML", 6789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6790
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Effect.Compiler\Release\SharpDX.xml", "XML", 38927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38947
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework.Content.Pipeline\Debug\MonoGame.Framework.xml", "XML", 22966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 23378
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework.Content.Pipeline\Debug\SharpDX.D3DCompiler.xml", "XML", 6789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6790
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework.Content.Pipeline\Debug\SharpDX.xml", "XML", 38927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38947
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework\WindowsDX\Debug\net452\MonoGame.Framework.xml", "XML", 22503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 22915
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework\WindowsDX\Debug\netcoreapp3.1\MonoGame.Framework.deps.json", "JSON", 0, 0, 2322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2322
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework\WindowsDX\Debug\netcoreapp3.1\MonoGame.Framework.xml", "XML", 22503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 22915
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework\WindowsDX\Release\netcoreapp3.1\MonoGame.Framework.deps.json", "JSON", 0, 0, 2322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2322
"c:\Users\sam\Projects\voxelspace\MonoGame\Artifacts\MonoGame.Framework\WindowsDX\Release\netcoreapp3.1\MonoGame.Framework.xml", "XML", 22503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 22915
